model;vendor;price;quantity
OnePlus Nord N10 5G; OnePlus;414;8
Moto G (3rd generation); Motorola Mobility;206;8
HTC Raider 4G; HTC;286;3
HTC Raider 4G; HTC;286;2
LG K22; LG Electronics;315;3
Pixel 3a/XL; Google;365;9
Xiaomi Mi Note 10/Pro; Xiaomi;234;2
ZTE Blade Vec 3G/4G; ZTE;447;1
OnePlus 7T Pro; OnePlus;329;4
ZTE Blade Q/Maxi/Mini; ZTE;374;6
LG K22; LG Electronics;315;4
OnePlus 9; OnePlus;386;4
Xiaomi Mi Note 10/Pro; Xiaomi;234;9
OnePlus 9; OnePlus;386;3
Pixel 4a (5G); Google;469;8
LG Q92 5G; LG Electronics;216;5
Moto E (2nd generation); Motorola Mobility;358;2
OnePlus 9 Pro; OnePlus;483;9
OnePlus 8; OnePlus;283;5
Xiaomi Mi 10/Pro; Xiaomi;366;3
Xiaomi Mi 9 Pro/Pro 5G; Xiaomi;350;2
OnePlus Nord N100; OnePlus;397;2
ZTE Blade L2; ZTE;244;1
ZTE Blade G V880G; ZTE;274;1
Pixel 4a; Google;289;5
LG Q92 5G; LG Electronics;216;4
ZTE Director; ZTE;432;3
Pixel 4a; Google;289;3
Xiaomi Mi 9T Pro; Xiaomi;430;8
Samsung Galaxy A7/Duos; Samsung Electronics;426;6
OnePlus Nord N10 5G; OnePlus;414;3
BlackBerry Key2; BlackBerry Mobile;247;8
ZTE Blade Vec 3G/4G; ZTE;447;1
Samsung Galaxy Note 5; Samsung Electronics;254;2
ZTE Blade V; ZTE;360;4
HTC Desire C; HTC;199;2
HTC Sensation XL; HTC;309;7
Pixel 3a/XL; Google;365;8
LG K42/K71; LG Electronics;416;8
Samsung Galaxy A8/Duos; Samsung Electronics;402;4
BlackBerry Key2; BlackBerry Mobile;247;5
Xiaomi Black Shark 2 Pro; Xiaomi;346;5
OnePlus 9; OnePlus;386;1
HTC One S C2; HTC;462;9
Pixel 3a/XL; Google;365;4
Xiaomi Mi Note 10/Pro; Xiaomi;234;8
HTC Explorer; HTC;396;9
Xiaomi Mi 9/SE; Xiaomi;471;4
Xiaomi Black Shark 2 Pro; Xiaomi;346;7
HTC Salsa; HTC;257;4
ZTE Blade Q/Maxi/Mini; ZTE;374;6
OnePlus Nord N100; OnePlus;397;5
BlackBerry Key2; BlackBerry Mobile;247;7
Xiaomi Mi 9/SE; Xiaomi;471;5
HTC Raider 4G; HTC;286;3
ZTE Blade G V880G; ZTE;274;2
Pixel 4/XL; Google;410;5
Motorola Droid Turbo; Motorola Mobility;444;3
Samsung Galaxy A3/Duos; Samsung Electronics;407;6
Samsung Galaxy A3 (2016)/A5 (2016)/A7 (2016); Samsung Electronics;447;7
HTC Amaze 4G; HTC;227;1
Xiaomi Mi 9/SE; Xiaomi;471;1
OnePlus 9 Pro; OnePlus;483;1
Xiaomi Mi MIX 3 5G; Xiaomi;396;8
HTC One S C2; HTC;462;5
LG Q61; LG Electronics;326;7
Samsung Galaxy A5; Samsung Electronics;428;8
Xiaomi Mi 9T Pro; Xiaomi;430;7
